AppID,Nombre,Horas Totales,Horas Últimas 2 Semanas,Última Vez Jugado,Logros Totales,Logros Desbloqueados
242700,Injustice: Gods Among Us Ultimate Edition,0.63,0.0,2024-03-08 16:54:57,50,1
1016120,PGA TOUR 2K21,0.0,0.0,1969-12-31 19:00:00,29,0
209630,Magrunner: Dark Pulse,0.37,0.0,2024-09-19 19:09:24,24,1
465760,Scrap Garden,0.0,0.0,1969-12-31 19:00:00,42,0
1433860,The Amazing American Circus,0.0,0.0,1969-12-31 19:00:00,61,0
34270,SEGA Mega Drive & Genesis Classics,0.15,0.0,2024-03-02 08:16:29,25,0
1449850,Yu-Gi-Oh!  Master Duel,0.0,0.0,1969-12-31 19:00:00,11,0
245170,Skullgirls 2nd Encore,0.0,0.0,1969-12-31 19:00:00,45,0
616560,Ultimate Epic Battle Simulator,0.0,0.0,1969-12-31 19:00:00,0,0
43110,Metro 2033,14.85,0.0,2024-11-24 19:00:50,48,13
1140630,Red Wings,0.0,0.0,1969-12-31 19:00:00,29,0
351510,Quiplash,0.0,0.0,1969-12-31 19:00:00,10,0
435120,Rusty Lake Hotel,0.0,0.0,1969-12-31 19:00:00,23,0
927350,Hood: Outlaws & Legends,0.0,0.0,1969-12-31 19:00:00,50,0
1628620,World Boss,0.0,0.0,1969-12-31 19:00:00,83,0
231430,Company of Heroes 2,0.0,0.0,1969-12-31 19:00:00,452,0
1641890,Lust from Beyond: M Edition,0.0,0.0,1969-12-31 19:00:00,26,0
1180660,Tell Me Why,0.0,0.0,1969-12-31 19:00:00,30,0
424840,Little Nightmares,0.08,0.0,2022-06-11 19:02:17,22,0
65790,Arma: Cold War Assault,0.0,0.0,1969-12-31 19:00:00,0,0
297130,Titan Souls,0.0,0.0,1969-12-31 19:00:00,27,0
1665460,eFootball™,0.38,0.0,2024-09-22 11:22:00,0,0
883710,Resident Evil 2,37.73,0.0,2024-09-23 16:11:45,44,34
952060,Resident Evil 3,0.08,0.0,2022-08-12 17:15:11,32,0
952070,RESIDENT EVIL RESISTANCE,0.0,0.0,1969-12-31 19:00:00,51,0
601150,Devil May Cry 5,11.6,0.0,2023-05-22 19:47:24,55,17
1240440,Halo Infinite,0.0,0.0,1969-12-31 19:00:00,144,0
924970,Back 4 Blood,0.0,0.0,1969-12-31 19:00:00,93,0
46500,Syberia,0.0,0.0,1969-12-31 19:00:00,0,0
46510,Syberia 2,0.0,0.0,1969-12-31 19:00:00,0,0
475550,Beholder,0.0,0.0,1969-12-31 19:00:00,60,0
241930,Middle-earth™: Shadow of Mordor™,30.42,0.0,2024-02-09 19:36:00,74,36
356190,Middle-earth™: Shadow of War™,0.0,0.0,1969-12-31 19:00:00,72,0
